engagement_rate,commercial_rate
2000,1000
0.06,900
454,2000
1000,1000
1000,2500
5,10000
25,3500
43.6,8500
0.05,12000
80,10000
3,7000
116.82,2000
0.5,6000
243.24,5000
400,2000
10,7000
100,2000
310,4000
0.06,5000
200,10000
0.05,40000
0.05,8000
241.97,25000
10,5000
3.8,5000
0.4,1500
10,20000
0.2,2000
1.9,2000
1.15,4000
0.9,5000
3.6,5000
30,2500
0.03,4000
1000,1500
3.26,7000
0.11,6000
0.03,2000
50.33,1500
33.13,1200
18,1000
0.48,2500
160,8000
5.26,500
0.25,5000
10,5000
25,4000
50,5000
100,300000
0,1000
2,1000
0.88,1000
15,1500
0.23,4000
3,6000
60,3000
0.05,1000
20,2000
100,4000
79.19,4000
60,2000
0.15,4000
0.04,1000
7,2000
0.08,10000
20,200
372.15,5000
0.03,5000
1.3,5000
1.16,2000
70,1500
5,3500
155.05,2500
3.5,3000
0.4,5000
7,7000
0.03,5000
5,7000
0.22,700
0.09,8000
20,2500
100,3000
0.05,4000
0.3,2000
30,3000
12,10000
41,1999
10,2500
0.42,3000
0.77,1000
8,10000
15,1000
0.07,7000
7,2000
0.13,3500
50,1000
